,pH.preference,Predicted pH (XGBoost)
257,6.45,6.5428457
258,6.46,6.4645033
259,6.5,6.5428457
260,6.65,6.5428457
261,6.73,6.799377
262,6.75,6.60371
263,6.88,6.687459
264,6.94,6.744298
265,7.1,7.247675
266,7.14,7.056611
267,7.42,7.0834646
268,7.44,7.397069
269,7.5,7.5564413
270,7.51,7.46523
271,7.6,7.4444036
272,7.63,7.6051984
273,7.66,7.4575744
274,7.86,7.6413803
275,7.9,7.732378
276,4.57,4.5833364
277,4.57,4.5833364
278,4.57,5.027729
279,4.57,5.324228
280,4.69,5.256234
281,4.81,4.9643407
282,5.11,5.7974744
283,5.61,5.786369
284,5.61,5.94528
285,5.81,5.795371
286,5.89,6.2910385
287,6.09,6.53571
288,6.18,5.8294225
289,6.4,6.305725
290,6.4,6.399826
291,6.4,6.89797
292,6.4,6.695517
293,6.46,6.3597302
294,6.46,6.3430057
295,6.46,6.3094783
296,6.51,6.6109586
297,6.59,6.434575
298,6.62,6.6796303
299,6.62,6.4331665
300,6.62,6.8105145
301,6.63,6.649988
302,6.63,6.073178
303,6.65,6.6435046
304,6.65,6.596057
305,6.66,6.145189
306,6.74,6.782751
307,6.77,6.746523
308,6.78,7.2076144
309,6.79,6.8165703
310,6.81,6.812936
311,6.81,7.0883703
312,6.83,6.7439404
313,6.83,6.8575935
314,6.83,6.8287683
315,6.84,6.8758435
316,6.85,7.203064
317,6.87,6.787674
318,6.88,6.9151926
319,6.88,6.858929
320,6.9,6.820807
321,6.96,6.9347086
322,6.96,6.8648643
323,7.05,6.992015
324,7.1,7.245413
325,7.1,7.102562
326,7.17,6.676868
327,7.18,7.0883703
328,7.24,7.050848
329,7.27,7.3890204
330,7.27,6.675343
331,7.34,6.8954635
332,7.38,6.8287683
333,7.39,7.30875
334,7.4,7.201362
335,7.42,7.2368746
336,7.43,7.418044
337,7.43,7.177777
338,7.5,7.203064
339,7.5,7.2637386
340,7.5,6.975432
341,7.51,7.2613187
342,7.56,6.746523
343,7.56,7.29429
344,7.6,7.821637
345,7.63,7.521753
346,7.65,7.3100643
347,7.65,7.476563
348,7.65,5.9857717
349,7.66,7.4724
350,7.66,7.4644084
351,7.67,7.2719574
352,7.67,7.2076144
353,7.72,6.7328773
354,7.72,7.5452046
355,7.73,7.8028345
356,7.74,7.366634
357,7.74,7.136366
358,7.75,7.6177554
359,7.75,7.463935
360,7.75,7.757512
361,7.79,7.4276433
362,7.82,7.524275
363,7.82,7.5962744
364,7.84,7.1277604
365,7.87,6.736972
366,7.87,7.8264456
367,7.9,7.8341765
368,7.9,7.8000813
369,7.9,7.72359
370,7.97,7.555929
371,8.0,7.821637
372,8.0,6.4699006
373,8.03,6.89797
374,8.06,7.8000813
375,8.08,7.6621737
376,8.08,7.582504
377,8.27,8.213146
378,6.65,6.5703506
379,7.49,6.8629627
380,7.86,7.1649675
381,4.52,4.5600076
382,4.57,4.5163307
383,4.57,5.483389
384,4.81,5.6005177
385,4.89,5.0210185
386,4.9,6.5177503
387,4.9,6.615653
388,5.07,5.6752224
389,5.11,6.6410813
390,5.2,5.476313
391,5.2,5.142864
392,5.2,5.5385184
393,5.21,6.0885425
394,5.21,5.5684133
395,5.21,5.569499
396,5.33,5.4326196
397,5.61,6.0885425
398,5.97,6.000002
399,5.99,6.7588716
400,6.08,6.2778625
401,6.12,6.0798526
402,6.14,5.8358026
403,6.22,6.4603844
404,6.32,6.19708
405,6.39,6.442383
406,6.4,6.3657017
407,6.4,6.3398337
408,6.4,6.423716
409,6.46,6.7500706
410,6.46,6.4065323
411,6.46,6.1384463
412,6.46,6.5397377
413,6.49,6.6285877
414,6.49,6.517315
415,6.5,6.385028
416,6.51,6.979177
417,6.53,6.171571
418,6.55,6.634028
419,6.55,6.5842595
420,6.58,6.606435
421,6.59,6.7588716
422,6.6,6.0991898
423,6.62,6.0885425
424,6.65,6.0885425
425,6.65,5.686467
426,6.66,6.5122986
427,6.66,6.65233
428,6.69,6.8465934
429,6.74,6.6488395
430,6.76,6.51795
431,6.76,6.230073
432,6.77,6.7930565
433,6.77,6.771665
434,6.78,6.6410813
435,6.78,7.152401
436,6.78,6.0569496
437,6.8,6.790344
438,6.82,6.6672544
439,6.82,6.803646
440,6.82,6.8414736
441,6.82,6.216396
442,6.87,6.532436
443,6.88,6.933504
444,6.88,6.7875776
445,6.91,7.2557664
446,6.91,7.0787244
447,6.91,5.9919605
448,6.91,6.271428
449,7.0,7.1642866
450,7.02,7.2557664
451,7.02,7.0365396
452,7.02,6.7311974
453,7.05,7.0864143
454,7.06,6.4179826
455,7.08,7.0061116
456,7.1,6.7078757
457,7.1,7.309429
458,7.12,7.1022825
459,7.13,7.0318666
460,7.17,7.034026
461,7.17,6.6394095
462,7.18,7.160458
463,7.18,6.8652916
464,7.21,6.6410813
465,7.24,7.1618557
466,7.27,6.6577215
467,7.33,6.5303783
468,7.35,7.2640123
469,7.38,7.058781
470,7.4,7.2355657
471,7.4,6.8959084
472,7.42,7.2776833
473,7.43,7.3397517
474,7.45,7.045431
475,7.45,7.255629
476,7.45,7.103923
477,7.45,6.6638255
478,7.45,7.3472767
479,7.46,7.2356906
480,7.46,6.83663
481,7.5,7.5510173
482,7.5,7.528772
483,7.5,6.7588716
484,7.51,7.0069413
