,gene
0,WXXGXW
1,YHS
2,CsbD
3,Pro.kuma_activ
4,Phosphoesterase
5,OprB
6,SOUL
7,MNHE
8,Lactonase
9,TctA
10,PQQ
11,Big_3_5
12,Met_gamma_lyase
13,MgtE
14,PGI
15,UvdE
16,Cytidylate_kin2
17,CpsB_CapC
18,HTH_37
19,AcetylCoA_hyd_C
20,Glucodextran_N
21,TelA
22,Phenol_MetA_deg
23,MrpF_PhaF
24,KdpD
25,HycI
26,KdpA
27,MCRA
28,TFR_dimer
29,SNase
30,CytoC_RC
31,Methyltransf_4
32,FAD_binding_7
33,GWxTD_dom
34,KdpC
35,HipA_2
36,DHquinase_I
37,PhaG_MnhG_YufB
