ASV,pH.preference,"Predicted pH (XGBoost, permutation)"
255,4.89,5.3367186
256,5.33,5.3185043
257,6.45,6.6324224
258,6.46,6.5415397
259,6.5,6.6324224
260,6.65,6.6324224
261,6.73,6.739332
262,6.75,6.586572
263,6.88,6.7774734
264,6.94,6.604229
265,7.1,7.4882236
266,7.14,6.843951
267,7.42,7.1042004
268,7.44,7.1210885
269,7.5,7.243398
270,7.51,7.412834
271,7.6,7.245547
272,7.63,7.1805787
273,7.66,7.149156
274,7.86,7.506425
275,7.9,7.5938363
276,4.57,4.6173935
277,4.57,4.6173935
278,4.57,5.1213555
279,4.57,5.5479198
280,4.69,5.3365393
281,4.81,5.309948
282,5.11,5.4651
283,5.61,5.955317
284,5.61,5.362956
285,5.81,5.9409547
286,5.89,6.357585
287,6.09,6.816917
288,6.18,6.496192
289,6.4,6.5963426
290,6.4,6.3615494
291,6.4,6.8943205
292,6.4,6.6510043
293,6.46,6.496192
294,6.46,6.421551
295,6.46,6.1744194
296,6.51,6.727526
297,6.59,6.38096
298,6.62,6.574319
299,6.62,6.8766155
300,6.62,6.8019867
301,6.63,6.72789
302,6.63,5.7688475
303,6.65,6.545702
304,6.65,6.2655663
305,6.66,6.132122
306,6.74,6.635241
307,6.77,6.891246
308,6.78,7.038198
309,6.79,6.9165573
310,6.81,6.816795
311,6.81,7.174964
312,6.83,6.8359795
313,6.83,6.6276345
314,6.83,6.809716
315,6.84,6.8794017
316,6.85,7.251929
317,6.87,6.76246
318,6.88,6.496192
319,6.88,7.2595944
320,6.9,6.9410133
321,6.96,6.873082
322,6.96,6.89003
323,7.05,6.648817
324,7.1,7.1768456
325,7.1,6.9216824
326,7.17,6.2997675
327,7.18,7.174964
328,7.24,7.028772
329,7.27,7.367324
330,7.27,6.1759653
331,7.34,6.652018
332,7.38,6.809716
333,7.39,6.8658237
334,7.4,7.154201
335,7.42,7.0154867
336,7.43,7.3636866
337,7.43,6.8303638
338,7.5,7.251929
339,7.5,6.6436095
340,7.5,6.8944454
341,7.51,6.89576
342,7.56,6.891246
343,7.56,7.1134477
344,7.6,7.755854
345,7.63,7.213897
346,7.65,7.083607
347,7.65,7.3342934
348,7.65,6.6150403
349,7.66,7.0371747
350,7.66,7.2848883
351,7.67,7.2341957
352,7.67,7.038198
353,7.72,6.686652
354,7.72,6.931146
355,7.73,7.57942
356,7.74,7.2163644
357,7.74,7.1991076
358,7.75,7.2651834
359,7.75,7.2136593
360,7.75,7.7600574
361,7.79,6.8339963
362,7.82,7.081946
363,7.82,7.329623
